Day,Month,DayNumber,Year,StartTime,Visitor,VisitorPoints,Home,HomePoints,,,AttendeeNumber,Notes
Tue,Oct,17,2017,8:01p,BOS,99,CLE,102,Box Score,,20562,
Tue,Oct,17,2017,10:30p,HOU,122,GSW,121,Box Score,,19596,
Wed,Oct,18,2017,7:30p,MIL,108,BOS,100,Box Score,,18624,
Wed,Oct,18,2017,8:30p,ATL,117,DAL,111,Box Score,,19709,
Wed,Oct,18,2017,7:00p,CHA,90,DET,102,Box Score,,20491,
Wed,Oct,18,2017,7:00p,BKN,131,IND,140,Box Score,,15008,
Wed,Oct,18,2017,8:00p,NOP,91,MEM,103,Box Score,,17794,
Wed,Oct,18,2017,7:00p,MIA,109,ORL,116,Box Score,,18846,
Wed,Oct,18,2017,10:00p,POR,124,PHX,76,Box Score,,18055,
Wed,Oct,18,2017,10:00p,HOU,105,SAC,100,Box Score,,17583,
Wed,Oct,18,2017,9:30p,MIN,99,SAS,107,Box Score,,18418,
Wed,Oct,18,2017,9:00p,DEN,96,UTA,106,Box Score,,17588,
Wed,Oct,18,2017,7:00p,PHI,115,WAS,120,Box Score,,20356,
Thu,Oct,19,2017,10:30p,LAC,108,LAL,92,Box Score,,18997,
Thu,Oct,19,2017,8:00p,NYK,84,OKC,105,Box Score,,18203,
Thu,Oct,19,2017,7:30p,CHI,100,TOR,117,Box Score,,19800,
Fri,Oct,20,2017,7:30p,ORL,121,BKN,126,Box Score,,16144,
Fri,Oct,20,2017,7:00p,ATL,91,CHA,109,Box Score,,18417,
Fri,Oct,20,2017,8:30p,SAC,93,DAL,88,Box Score,,19273,
Fri,Oct,20,2017,7:00p,POR,114,IND,96,Box Score,,15325,
Fri,Oct,20,2017,7:00p,CLE,116,MIL,97,Box Score,,18717,
Fri,Oct,20,2017,8:00p,UTA,97,MIN,100,Box Score,,18978,
Fri,Oct,20,2017,9:30p,GSW,128,NOP,120,Box Score,,18171,
Fri,Oct,20,2017,7:00p,BOS,102,PHI,92,Box Score,,20816,
Fri,Oct,20,2017,10:00p,LAL,132,PHX,130,Box Score,,18055,
Fri,Oct,20,2017,7:00p,DET,111,WAS,115,Box Score,,16337,
Sat,Oct,21,2017,8:00p,SAS,87,CHI,77,Box Score,,21640,
Sat,Oct,21,2017,8:00p,ORL,114,CLE,93,Box Score,,20562,
Sat,Oct,21,2017,9:00p,SAC,79,DEN,96,Box Score,,19520,
Sat,Oct,21,2017,8:00p,DAL,91,HOU,107,Box Score,,18055,
Sat,Oct,21,2017,10:30p,PHX,88,LAC,130,Box Score,,19068,
Sat,Oct,21,2017,8:00p,GSW,101,MEM,111,Box Score,,17794,
Sat,Oct,21,2017,8:00p,IND,108,MIA,112,Box Score,,19600,
Sat,Oct,21,2017,8:30p,POR,110,MIL,113,Box Score,,16211,
Sat,Oct,21,2017,8:00p,DET,111,NYK,107,Box Score,,19812,
Sat,Oct,21,2017,7:30p,PHI,94,TOR,128,Box Score,,19800,
Sat,Oct,21,2017,9:00p,OKC,87,UTA,96,Box Score,,18300,
Sun,Oct,22,2017,3:30p,ATL,104,BKN,116,Box Score,,13917,
Sun,Oct,22,2017,9:30p,NOP,119,LAL,112,Box Score,,18997,
Sun,Oct,22,2017,7:00p,MIN,115,OKC,113,Box Score,,18203,
Mon,Oct,23,2017,8:30p,GSW,133,DAL,103,Box Score,,19875,
Mon,Oct,23,2017,9:00p,WAS,109,DEN,104,Box Score,,14294,
Mon,Oct,23,2017,7:00p,PHI,97,DET,86,Box Score,,13709,
Mon,Oct,23,2017,8:00p,MEM,98,HOU,90,Box Score,,17129,
Mon,Oct,23,2017,7:30p,ATL,93,MIA,104,Box Score,,19600,
Mon,Oct,23,2017,8:00p,CHA,94,MIL,103,Box Score,,12887,
Mon,Oct,23,2017,10:00p,SAC,115,PHX,117,Box Score,,14903,
Mon,Oct,23,2017,8:30p,TOR,97,SAS,101,Box Score,,18418,
Tue,Oct,24,2017,7:30p,NYK,89,BOS,110,Box Score,,18624,
Tue,Oct,24,2017,7:00p,CHI,112,CLE,119,Box Score,,20562,
Tue,Oct,24,2017,10:30p,UTA,84,LAC,102,Box Score,,16607,
Tue,Oct,24,2017,8:00p,IND,130,MIN,107,Box Score,,14353,
