Day,Month,DayNumber,Year,StartTime,,VisitorPoints,,HomePoints,AttendeeNumber
Tue,Oct,25,2016,7:30p,NYK,88,CLE,117,20562
Tue,Oct,25,2016,10:30p,SAS,129,GSW,100,19596
Tue,Oct,25,2016,10:00p,UTA,104,POR,113,19446
Wed,Oct,26,2016,7:30p,BKN,117,BOS,122,18624
Wed,Oct,26,2016,7:00p,DAL,121,IND,130,17923
Wed,Oct,26,2016,10:30p,HOU,114,LAL,120,18997
Wed,Oct,26,2016,8:00p,MIN,98,MEM,102,18119
Wed,Oct,26,2016,8:00p,CHA,107,MIL,96,18717
Wed,Oct,26,2016,8:00p,DEN,107,NOP,102,15869
Wed,Oct,26,2016,7:00p,MIA,108,ORL,96,19298
Wed,Oct,26,2016,8:00p,OKC,103,PHI,97,20487
Wed,Oct,26,2016,10:00p,SAC,113,PHX,94,18055
Wed,Oct,26,2016,7:30p,DET,91,TOR,109,19800
Thu,Oct,27,2016,7:30p,WAS,99,ATL,114,19049
Thu,Oct,27,2016,8:00p,BOS,99,CHI,105,21501
Thu,Oct,27,2016,10:30p,LAC,114,POR,106,19500
Thu,Oct,27,2016,10:30p,SAS,102,SAC,94,17608
Fri,Oct,28,2016,7:30p,IND,94,BKN,103,17732
Fri,Oct,28,2016,8:30p,HOU,106,DAL,98,20163
Fri,Oct,28,2016,7:30p,ORL,82,DET,108,19122
Fri,Oct,28,2016,8:00p,CHA,97,MIA,91,19600
Fri,Oct,28,2016,9:30p,GSW,122,NOP,114,18217
Fri,Oct,28,2016,8:00p,PHX,110,OKC,113,18203
Fri,Oct,28,2016,7:00p,CLE,94,TOR,91,19800
Fri,Oct,28,2016,9:00p,LAL,89,UTA,96,19911
Sat,Oct,29,2016,8:00p,IND,101,CHI,118,21373
Sat,Oct,29,2016,7:00p,BOS,104,CHA,98,18708
Sat,Oct,29,2016,7:30p,ORL,99,CLE,105,20562
Sat,Oct,29,2016,9:00p,POR,115,DEN,113,18055
Sat,Oct,29,2016,8:00p,BKN,108,MIL,110,12570
Sat,Oct,29,2016,7:30p,MEM,104,NYK,111,19812
Sat,Oct,29,2016,12:30p,ATL,104,PHI,72,16312
Sat,Oct,29,2016,10:30p,MIN,103,SAC,106,17608
Sat,Oct,29,2016,8:00p,NOP,79,SAS,98,18418
Sun,Oct,30,2016,6:00p,MIL,83,DET,98,15161
Sun,Oct,30,2016,8:00p,DAL,92,HOU,93,18055
Sun,Oct,30,2016,4:30p,UTA,75,LAC,88,19060
Sun,Oct,30,2016,8:00p,WAS,103,MEM,112,15573
Sun,Oct,30,2016,6:00p,SAS,106,MIA,99,19678
Sun,Oct,30,2016,7:00p,LAL,96,OKC,113,18203
Sun,Oct,30,2016,6:00p,GSW,106,PHX,100,17011
Mon,Oct,31,2016,7:30p,SAC,95,ATL,106,12501
Mon,Oct,31,2016,7:30p,CHI,118,BKN,88,15842
